TransactionID,AccountFrom,AccountTo,Amount,Date,Description
0001,System,023153,0.42,2024/05/23,Interest income
0002,System,003211,12.00,2024/05/23,Transfer In
0003,023153,003211,12.00,2024/05/24,test
0004,003211,023153,12.00,2024/05/24,test
0005,System,003211,10.00,2024/05/24,Withdraw
0006,System,003211,100.00,2024/05/25,Withdraw
0007,System,003211,10.00,2024/05/25,Withdraw
0008,System,003211,2.00,2024/05/25,Withdraw
0009,System,003211,10.00,2024/05/25,Transfer In
0010,System,003211,1.01,2024/05/26,Interest income
0011,System,233002,0.08,2024/05/26,Interest income
